2 Year Quarterly Calendar
Quarter ,Week,Title,Season,quarter-number,Year
Footprints through the Bible - Summer,1, Lions Cannot Hurt Daniel (Part 1),Summer 1,1,2026
Footprints through the Bible - Summer,2, Lions Cannot Hurt Daniel (Part 2),Summer 1,1,2026
Footprints through the Bible - Summer,3, Queen Esther (Part 1),Summer 1,1,2026
Footprints through the Bible - Summer,4, Queen Esther (Part 2),Summer 1,1,2026
Footprints through the Bible - Summer,5, Woman at the Well,Summer 1,1,2026
Footprints through the Bible - Summer,6, Feeding the Five Thousand,Summer 1,1,2026
Footprints through the Bible - Summer,7, Jesus Walks on the Water,Summer 1,1,2026
Footprints through the Bible - Summer,8, Good Samaritan,Summer 1,1,2026
Footprints through the Bible - Summer,9, Beside the Pool,Summer 1,1,2026
Footprints through the Bible - Summer,10, Zacchaeus,Summer 1,1,2026
Footprints through the Bible - Summer,11, Prodigal Son,Summer 1,1,2026
Footprints through the Bible - Summer,12, David the Shepherd,Summer 1,1,2026
Footprints through the Bible - Summer,13, David and Goliath,Summer 1,1,2026
Let’s Learn about God - Fall,1, God Provides for Elijah (Part 1),Fall 1,2,2026
Let’s Learn about God - Fall,2, God Provides for Elijah (Part 2),Fall 1,2,2026
Let’s Learn about God - Fall,3, God Sends Fire and Rain,Fall 1,2,2026
Let’s Learn about God - Fall,4, Elijah Goes to Heaven,Fall 1,2,2026
Let’s Learn about God - Fall,5, God's Invisible Army,Fall 1,2,2026
Let’s Learn about God - Fall,6, Miracle at the Wedding,Fall 1,2,2026
Let’s Learn about God - Fall,7, Jesus Cleanses the Temple,Fall 1,2,2026
Let’s Learn about God - Fall,8," Lazarus, Come Forth",Fall 1,2,2026
Let’s Learn about God - Fall,9, Tax from a Fish's Mouth,Fall 1,2,2026
Let’s Learn about God - Fall,10, Jesus Heals the Paralyzed Man,Fall 1,2,2026
Let’s Learn about God - Fall,11, Jesus loves the Children,Fall 1,2,2026
Let’s Learn about God - Fall,12, Jesus Heals Ten Lepers,Fall 1,2,2026
Let’s Learn about God - Fall,13, Peter is Free,Fall 1,2,2026
I Love God’s Word - Winter,A, An Angel Speaks to Mary,Winter 1,3,2026-27
I Love God’s Word - Winter,B, God Keeps His Promise,Winter 1,3,2026-27
I Love God’s Word - Winter,C, Shepherds Hear the Good News,Winter 1,3,2026-27
I Love God’s Word - Winter,D, Anna and Simeon Are Glad,Winter 1,3,2026-27
I Love God’s Word - Winter,1, The Lord Was with Joseph (Part 1),Winter 1,3,2026-27
I Love God’s Word - Winter,2, The Lord Was with Joseph (Part 2),Winter 1,3,2026-27
I Love God’s Word - Winter,3, God Protects Baby Moses,Winter 1,3,2026-27
I Love God’s Word - Winter,4, God Talks to Moses,Winter 1,3,2026-27
I Love God’s Word - Winter,5, Let My People Go,Winter 1,3,2026-27
I Love God’s Word - Winter,6, God's People Are Free,Winter 1,3,2026-27
I Love God’s Word - Winter,7, God Makes Bitter Water Sweet,Winter 1,3,2026-27
I Love God’s Word - Winter,8, God Gives Food from Heaven,Winter 1,3,2026-27
I Love God’s Word - Winter,9, God Gives Ten Commandments,Winter 1,3,2026-27
Growing in God's Word - Spring,1, Ruth Makes the Right Choice,Spring 1,4,2027
Growing in God's Word - Spring,2, God Cares for Ruth,Spring 1,4,2027
Growing in God's Word - Spring,A, People Worship Jesus,Spring 1,4,2027
Growing in God's Word - Spring,B, Jesus Dies and Lives Again,Spring 1,4,2027
Growing in God's Word - Spring,C, Jesus Appears to His Friends,Spring 1,4,2027
Growing in God's Word - Spring,D, Eating Breakfast with Jesus,Spring 1,4,2027
Growing in God's Word - Spring,E, Jesus Returns to Heaven,Spring 1,4,2027
Growing in God's Word - Spring,3, Twins Are Different,Spring 1,4,2027
Growing in God's Word - Spring,4, A Rock for a Pillow,Spring 1,4,2027
Growing in God's Word - Spring,5, Brothers Forgive,Spring 1,4,2027
Growing in God's Word - Spring,6, Marching Round and Round,Spring 1,4,2027
Growing in God's Word - Spring,7, Joshua Keeps His Promise,Spring 1,4,2027
Growing in God's Word - Spring,8, A Few Good Men,Spring 1,4,2027
Growing Up with Jesus - Summer,1,Rise Up and Walk,Summer 2,5,2027
Growing Up with Jesus - Summer,2,Safe Outside the Wall,Summer 2,5,2027
Growing Up with Jesus - Summer,3,Saul and Barnabas Team Up,Summer 2,5,2027
Growing Up with Jesus - Summer,4,Philippian Jailer,Summer 2,5,2027
Growing Up with Jesus - Summer,5,Timothy Learns God's Word,Summer 2,5,2027
Growing Up with Jesus - Summer,6,A Brave Young Boy,Summer 2,5,2027
Growing Up with Jesus - Summer,7,Which Man Was Forgiven?,Summer 2,5,2027
Growing Up with Jesus - Summer,8,Little and Lost,Summer 2,5,2027
Growing Up with Jesus - Summer,9,Wise and Foolish Builders,Summer 2,5,2027
Growing Up with Jesus - Summer,10,Unforgiving Servant,Summer 2,5,2027
